Keyword,Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
portainer docker compose,3260,414,399,-15,,3.60,3.28,-0.32,25,,DE,Germany,3260,399,-15
echo command in linux,2220,152,251,99,,3.83,3.73,-0.11,11,-1,IN,India,2220,251,99
npm workspaces,2410,204,227,23,,4.81,4.88,0.07,26,-1,US,United States,2410,227,23
jq select,2020,240,227,-14,,3.54,3.58,0.04,26,,US,United States,2020,227,-14
nx monorepo,3510,208,213,5,,5.47,6.05,0.58,20,1,US,United States,3510,213,5
cmake vs make,880,165,172,8,,2.50,2.21,-0.29,14,,US,United States,880,172,8
docker scout,1320,99,99,-1,,5.18,5.18,0.00,11,,US,United States,1320,99,-1
portainer docker,2850,68,83,16,,9.15,8.95,-0.20,19,-1,IT,Italy,2850,83,16
how to read csv file in python,1170,68,73,5,,7.53,7.35,-0.18,17,,GB,United Kingdom,1170,73,5
make vs cmake,530,74,70,-4,,2.92,2.85,-0.08,13,,US,United States,530,70,-4
echo command linux,450,33,68,35,,3.80,2.30,-1.50,10,,US,United States,450,68,35
python makefile,190,69,67,-2,,1.57,1.64,0.07,14,,US,United States,190,67,-2
docker compose portainer,470,74,58,-16,,2.73,3.45,0.73,11,,DE,Germany,470,58,-16
makefile python,200,62,58,-4,,1.27,1.83,0.56,12,1,US,United States,200,58,-4
flux vs argocd,490,64,58,-6,,3.12,4.00,0.88,8,,US,United States,490,58,-6
golang sqlite,740,52,56,4,,4.67,5.56,0.89,18,,US,United States,740,56,4
turbo repo,520,25,54,30,,6.67,6.60,-0.07,5,-1,US,United States,520,54,30
python named tuple,1460,56,53,-3,,8.06,7.90,-0.15,21,3,US,United States,1460,53,-3
bash eval,870,65,52,-13,,4.75,5.30,0.55,20,,DE,Germany,870,52,-13
# /bin/bash,9950,21,52,31,,11.67,7.92,-3.75,12,3,UY,Uruguay,9950,52,31
convert json to csv,4050,10,51,41,,19.17,19.60,0.43,5,-1,US,United States,4050,51,41
jq tutorial,470,45,47,2,,4.58,4.42,-0.17,12,,US,United States,470,47,2
grpc gateway,770,46,47,1,,6.27,7.36,1.09,11,,US,United States,770,47,1
argocd vs flux,470,47,47,0,,4.00,4.22,0.22,9,,US,United States,470,47,0
docker portainer,1360,56,46,-10,,9.22,8.73,-0.49,15,-3,US,United States,1360,46,-10
bash loop,980,57,46,-11,,8.00,9.86,1.86,7,-1,US,United States,980,46,-11
jq examples,1090,41,46,5,,8.31,7.62,-0.69,21,5,DE,Germany,1090,46,5
python read yaml,650,76,45,-31,,5.40,5.74,0.34,19,-1,DE,Germany,650,45,-31
github composite actions,350,44,44,0,,3.14,3.14,0.00,7,,US,United States,350,44,0
json to csv,32150,184,43,-140,,26.48,28.18,1.70,33,10,US,United States,32150,43,-140
how to read a csv file in python,470,44,41,-4,,6.08,5.86,-0.22,14,1,GB,United Kingdom,470,41,-4
github actions concurrency,500,37,40,3,,6.10,5.33,-0.77,9,-1,US,United States,500,40,3
bash for loop,2800,16,39,24,,12.40,14.75,2.35,8,3,RU,Russian Federation,2800,39,24
lxc vs docker,1240,45,39,-6,,9.31,8.60,-0.71,15,-1,US,United States,1240,39,-6
linux echo command,290,45,39,-6,,3.12,3.50,0.38,8,,DE,Germany,290,39,-6
golang error handling,850,42,39,-3,,6.25,6.88,0.62,8,,US,United States,850,39,-3
go chi,740,48,37,-11,,6.94,7.67,0.73,15,-2,US,United States,740,37,-11
json to csv converter,6350,46,34,-12,,17.67,23.75,6.08,4,1,US,United States,6350,34,-12
python concatenate lists,1630,35,34,-1,,8.26,8.23,-0.02,30,-1,FR,France,1630,34,-1
python read csv file,1210,89,33,-56,,8.05,8.62,0.56,13,-6,GB,United Kingdom,1210,33,-56
nerdctl,1910,31,33,2,,4.67,5.31,0.65,16,1,US,United States,1910,33,2
docker multistage build,880,32,31,0,,8.86,8.44,-0.41,9,-5,DE,Germany,880,31,0
awk examples,700,23,31,7,,7.58,7.44,-0.15,16,4,US,United States,700,31,7
golang csv,200,33,30,-2,,2.50,2.17,-0.33,6,,US,United States,200,30,-2
lunar hub,110,40,30,-11,,1.00,1.50,0.50,2,,US,United States,110,30,-11
mongodb docker,2050,31,28,-3,,10.40,12.15,1.75,13,-2,GB,United Kingdom,2050,28,-3
fluxcd vs argocd,220,29,28,-1,,3.00,3.25,0.25,4,,US,United States,220,28,-1
go sqlite,360,29,28,-1,,5.83,6.17,0.33,12,,US,United States,360,28,-1
portainer docker-compose,300,35,28,-7,,3.12,3.76,0.65,17,,DE,Germany,300,28,-7
go error handling,490,26,27,1,,6.00,6.17,0.17,6,,US,United States,490,27,1
cmake cross compile,250,24,25,2,,4.00,3.50,-0.50,8,,US,United States,250,25,2
npm monorepo,180,26,25,0,,2.75,3.00,0.25,8,,US,United States,180,25,0
cosine similarity python,1040,43,25,-18,,8.00,9.06,1.06,16,-5,IN,India,1040,25,-18
python read yaml file,410,26,25,-1,,5.08,5.31,0.23,13,,DE,Germany,410,25,-1
earthly,12660,22,24,2,,6.26,6.21,-0.06,29,-5,HK,Hong Kong,12660,24,2
docker multi stage build,330,27,24,-3,,6.44,6.71,0.27,7,-2,DE,Germany,330,24,-3
portainer port,1540,10,24,14,,12.00,11.40,-0.60,5,2,CA,Canada,1540,24,14
free ci,180,34,24,-10,,3.00,3.33,0.33,3,,IN,India,180,24,-10
python yaml,3690,18,23,5,,19.25,16.80,-2.45,10,2,DE,Germany,3690,23,5
bazel gazelle,200,23,23,0,,4.00,4.00,0.00,4,,US,United States,200,23,0
linux capabilities,190,23,23,-1,,3.60,3.60,0.00,10,,US,United States,190,23,-1
npm workspace,270,21,23,2,,4.50,4.25,-0.25,4,,US,United States,270,23,2
portainer compose,210,20,22,3,,3.80,3.40,-0.40,5,,US,United States,210,22,3
jq filter,720,7,22,15,,16.75,12.00,-4.75,5,1,DE,Germany,720,22,15
bash read file,380,27,22,-6,,5.40,6.20,0.80,15,,DE,Germany,380,22,-6
eval bash,250,17,22,5,,4.91,4.27,-0.64,11,,US,United States,250,22,5
read yaml file python,340,35,22,-13,,4.67,5.17,0.50,12,,DE,Germany,340,22,-13
awk tutorial,440,33,21,-12,,7.08,7.33,0.25,12,,US,United States,440,21,-12
subprocess run,1190,17,21,4,,8.80,10.25,1.45,4,-1,DE,Germany,1190,21,4
sqlite golang,240,23,21,-2,,4.92,5.17,0.25,12,,US,United States,240,21,-2
bash pushd,290,22,21,-1,,5.67,6.17,0.50,6,,US,United States,290,21,-1
earthfile,10,21,21,0,,1.00,1.00,0.00,4,,US,United States,10,21,0
powerlevel 10k,270,17,20,4,,6.75,7.50,0.75,4,,US,United States,270,20,4
docker debug,300,16,20,4,,6.50,5.67,-0.83,6,,US,United States,300,20,4
golang chi,300,18,19,1,,6.00,6.00,0.00,12,-2,US,United States,300,19,1
vscode makefile,110,19,19,0,,2.75,2.88,0.12,8,,US,United States,110,19,0
go package manager,170,20,18,-2,,3.40,4.00,0.60,5,,US,United States,170,18,-2
upload artifact github actions,270,7,18,11,,5.67,5.75,0.08,4,1,IN,India,270,18,11
python create venv,6750,6,18,12,,28.12,23.82,-4.31,11,3,US,United States,6750,18,12
fish shell,3420,11,18,6,,14.67,13.50,-1.17,8,2,VN,Vietnam,3420,18,6
python abstract class,1270,8,18,10,,20.25,19.25,-1.00,4,,US,United States,1270,18,10
read csv file in python,650,9,18,9,,6.31,7.38,1.07,16,3,GB,United Kingdom,650,18,9
k9s tutorial,110,15,18,3,,2.50,3.00,0.50,2,,US,United States,110,18,3
docker networks,390,21,17,-3,,10.75,11.00,0.25,5,-3,DE,Germany,390,17,-3
npx vs npm,1760,36,17,-19,,10.00,11.38,1.38,8,-6,US,United States,1760,17,-19
awk command,1750,10,17,7,,29.33,29.67,0.33,3,,US,United States,1750,17,7
makefile windows,160,16,17,1,,5.27,5.73,0.47,15,,FR,France,160,17,1
golang http server,250,23,16,-6,,8.75,8.00,-0.75,1,-3,US,United States,250,16,-6
github action concurrency,190,16,16,0,,6.00,5.67,-0.33,6,,US,United States,190,16,0
docker networking,1430,22,16,-6,,8.35,9.43,1.08,7,-10,DE,Germany,1430,16,-6
rg command,200,5,16,11,,10.00,6.00,-4.00,1,,US,United States,200,16,11
makefile set environment variable,220,18,16,-2,,4.50,4.38,-0.12,8,,US,United States,220,16,-2
docker sbom,160,16,16,0,,4.00,3.75,-0.25,4,,US,United States,160,16,0
github composite action,130,17,16,-1,,2.75,3.25,0.50,4,,US,United States,130,16,-1
jq map,430,15,16,1,,8.89,8.78,-0.11,9,,US,United States,430,16,1
yaml safe_load,270,17,16,-1,,5.38,5.75,0.38,8,,US,United States,270,16,-1
aws ecs tutorial,340,25,16,-9,,4.40,6.00,1.60,5,,IN,India,340,16,-9
containerd vs docker,690,21,16,-5,,9.21,9.38,0.16,8,-6,GB,United Kingdom,690,16,-5
jq select and,140,16,16,0,,3.25,3.25,0.00,4,,US,United States,140,16,0
what is nix,780,18,16,-2,,9.40,10.00,0.60,5,,IN,India,780,16,-2
chi golang,290,18,15,-3,,6.08,6.33,0.25,12,,RU,Russian Federation,290,15,-3
makefile environment variables,130,16,15,0,,2.43,2.57,0.14,7,,US,United States,130,15,0
python concat lists,450,9,15,7,,8.69,8.64,-0.05,14,1,FR,France,450,15,7
cmake vs makefile,130,17,15,-1,,3.00,3.25,0.25,4,,US,United States,130,15,-1
10x developer,600,15,15,0,,9.67,9.67,0.00,3,,US,United States,600,15,0
dockerfile volume,940,17,15,-3,,7.39,7.83,0.44,18,,US,United States,940,15,-3
ast python,260,15,15,0,,7.22,7.22,0.00,9,,US,United States,260,15,0
yaml dump,200,16,14,-2,,5.14,4.86,-0.29,7,,US,United States,200,14,-2
pyinstaller documentation,230,12,14,2,,6.00,6.50,0.50,2,,US,United States,230,14,2
cargo chef,270,16,14,-2,,6.75,7.00,0.25,4,,US,United States,270,14,-2
python pants,150,16,14,-1,,5.00,4.00,-1.00,1,,US,United States,150,14,-1
jq command,1350,12,14,2,,23.50,14.75,-8.75,4,,GB,United Kingdom,1350,14,2
where does docker store images,250,12,14,2,,7.17,6.17,-1.00,6,,US,United States,250,14,2
pip install yaml,1650,2,14,11,,23.00,17.00,-6.00,4,1,NL,Netherlands,1650,14,11
concatenate lists python,680,13,14,1,,9.28,9.28,0.00,25,,GB,United Kingdom,680,14,1
terraform depends on,540,13,14,0,,10.33,10.17,-0.17,6,,GB,United Kingdom,540,14,0
github workflow triggers,150,14,,,,5.00,,,0,-1,US,United States,150,14,
monorepo vs polyrepo,410,19,14,-6,,7.38,9.25,1.88,4,-4,US,United States,410,14,-6
