Keyword,Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
good first issue,1110,380,439,59,,1.20,1.00,-0.20,10,,IN,India,1110,439,59
good first issues,200,43,43,0,,1.50,1.50,0.00,2,,IN,India,200,43,0
good first issue github,210,31,30,-1,,2.50,3.00,0.50,2,,IN,India,210,30,-1
// oneframework.net,1600,20,,,,13.00,,,0,-1,US,United States,1600,20,
good first,60,13,13,0,,1.00,2.00,1.00,1,,US,United States,60,13,0
github good first issue,110,15,12,-3,,2.33,3.67,1.33,3,,IN,India,110,12,-3
python open source projects,100,4,,,,9.00,,,0,-1,IN,India,100,4,
open source contribution,350,3,2,0,,16.00,16.00,0.00,1,,IN,India,350,2,0
good first issues github,20,2,2,0,,4.00,3.00,-1.00,1,,US,United States,20,2,0
issue website,80,,2,,,,10.00,,1,1,IN,India,80,2,
first contributions,30,2,2,0,,5.50,5.50,0.00,2,,IN,India,30,2,0
open source projects for beginners,190,2,1,-1,,10.75,8.25,-2.50,4,,GB,United Kingdom,190,1,-1
first issue,30,2,1,-1,,4.50,6.50,2.00,2,,US,United States,30,1,-1
first time open,20,1,1,0,,6.00,6.00,0.00,1,,IN,India,20,1,0
java open source projects,150,1,,,,18.50,,,0,-2,IN,India,150,1,
open source contribution for beginners,30,1,,,,9.00,,,0,-2,IN,India,30,1,
best open source projects for beginners,20,1,1,0,,8.00,8.00,0.00,1,,US,United States,20,1,0
javascript open source projects for beginners,20,0,,,,10.00,,,0,-1,US,United States,20,0,
open source projects,1190,0,0,0,,26.00,24.33,-1.67,3,1,CA,Canada,1190,0,0
nodejs open source projects,30,0,,,,14.00,,,0,-1,IN,India,30,0,
github topics,200,,0,,,,23.00,,1,1,IN,India,200,0,
oss contribution,10,,0,,,,11.00,,1,1,US,United States,10,0,
open source projects javascript,10,0,0,0,,9.00,10.00,1.00,1,,IN,India,10,0,0
glpi github,500,0,,,,35.00,,,0,-1,FR,France,500,0,
pywinauto documentation,60,,0,,,,28.00,,1,1,US,United States,60,0,
rust beginner projects,30,0,0,0,,32.00,32.00,0.00,1,,US,United States,30,0,0
tacos selene,300,0,0,0,,40.00,40.00,0.00,1,,US,United States,300,0,0
appleseed catalog,500,0,,,,45.00,,,0,-1,US,United States,500,0,
mern stack projects github,350,,0,,,,43.00,,1,1,IN,India,350,0,
jgm performance engineering,100,0,,,,38.00,,,0,-1,US,United States,100,0,
gdb java,200,,0,,,,41.00,,1,1,BR,Brazil,200,0,
packer hashicorp,250,,0,,,,47.00,,1,1,US,United States,250,0,
search engine php open source,150,0,0,0,,51.00,51.00,0.00,1,,US,United States,150,0,0
plex scan library files not working,30,0,0,0,,45.00,45.00,0.00,1,,US,United States,30,0,0
rust github,200,,0,,,,52.00,,1,1,JP,Japan,200,0,
pywinauto tutorial,30,0,0,0,,46.00,46.00,0.00,1,,US,United States,30,0,0
java projects,20,0,,,,45.00,,,0,-1,PT,Portugal,20,0,
rust openssl,40,0,0,0,,49.00,49.00,0.00,1,,US,United States,40,0,0
nativescript angular,20,0,0,0,,45.00,45.00,0.00,1,,IN,India,20,0,0
puppeteer python,250,0,,,,61.00,,,0,-1,US,United States,250,0,
c++ projects with source code,200,,0,,,,64.00,,1,1,IN,India,200,0,
graphql mesh,150,0,0,0,,63.00,63.00,0.00,1,,US,United States,150,0,0
git star,10,0,,,,51.00,,,0,-1,KR,South Korea,10,0,
linq vs dot,10,0,0,0,,53.00,53.00,0.00,1,,US,United States,10,0,0
winston npm,70,0,,,,62.00,,,0,-1,GB,United Kingdom,70,0,
what is thread safe in java,300,0,,,,71.00,,,0,-1,IN,India,300,0,
mui datagrid,30,0,0,0,,62.00,59.00,-3.00,1,-1,GB,United Kingdom,30,0,0
linq modular,30,0,,,,60.00,,,0,-1,AE,United Arab Emirates,30,0,
readthedocs self hosted,10,0,0,0,,59.00,59.00,0.00,1,,DE,Germany,10,0,0
eslint typescript,150,0,,,,73.00,,,0,-1,US,United States,150,0,
android ui development with jetpack compose pdf,200,,0,,,,72.00,,1,1,US,United States,200,0,
google mesh troubleshooting,10,0,0,0,,58.00,58.00,0.00,1,,US,United States,10,0,0
python elasticsearch query builder,0,0,0,0,,51.00,51.00,0.00,1,,US,United States,0,0,0
tanzu kubernetes,20,0,0,0,,64.00,64.00,0.00,1,,SE,Sweden,20,0,0
elasticsearch django,10,0,0,0,,60.00,60.00,0.00,1,,RU,Russian Federation,10,0,0
machine learning projects in python with source code,60,0,,,,70.00,,,0,-1,IN,India,60,0,
tekton vs jenkins,90,0,0,0,,72.00,72.00,0.00,1,,US,United States,90,0,0
plex upnp,20,0,0,0,,66.00,66.00,0.00,1,,US,United States,20,0,0
python gdb,400,0,,,,79.00,,,0,-1,IN,India,400,0,
mlflow tutorial,70,0,,,,74.00,,,0,-1,IN,India,70,0,
error in [eslint],10,0,,,,64.00,,,0,-1,US,United States,10,0,
ocaml code,40,0,0,0,,74.00,74.00,0.00,1,,US,United States,40,0,0
puppeteer npm,300,0,,,,83.00,,,0,-1,US,United States,300,0,
kafka ui,300,,0,,,,82.00,,1,1,BR,Brazil,300,0,
envoy reverse proxy,40,0,,,,74.00,,,0,-1,US,United States,40,0,
dotnet ef migrations,20,0,,,,74.00,,,0,-1,NL,Netherlands,20,0,
terraform modules,900,0,,,,92.00,,,0,-1,IN,India,900,0,
cheerio api,40,0,0,0,,78.00,78.00,0.00,1,,US,United States,40,0,0
java projects with database connectivity with source code,10,0,,,,69.00,,,0,-1,IN,India,10,0,
rust python,30,0,,,,76.00,,,0,-1,BR,Brazil,30,0,
airtable scripting,10,0,0,0,,73.00,73.00,0.00,1,,CA,Canada,10,0,0
