#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages
1,github copilot,us,76,103000,2.50,,github copilot,2025-12-22 11:27:14,"Sitelinks,People also ask,Bottom ads,Video preview",611000,54000,370000,2017-02-19,"Informational,Branded,Non-local",English
2,github pages,us,39,16000,3.00,1.07,github pages,2025-12-20 11:58:14,"Sitelinks,Video preview,Top stories,Thumbnail",85000,23000,74000,2015-09-01,"Informational,Branded,Non-local",English
3,how to use github,us,74,12000,0.15,0.97,how to use github,2025-12-22 03:47:59,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Discussions,Top stories,Bottom ads,Paid sitelinks",22000,2500,4000,2015-09-01,"Informational,Branded,Non-local",English
4,github codespaces,us,45,7900,3.50,,codespaces,2025-12-19 23:38:59,"Sitelinks,Top stories,Thumbnail,People also ask,Bottom ads,Video preview",29000,9700,33000,2020-05-06,"Informational,Branded,Non-local",English
5,github api,us,18,6900,3.00,1.04,github api,2025-12-20 14:23:52,"Sitelinks,AI Overview,Thumbnail,Video preview,People also ask",20000,8100,19000,2015-09-02,"Informational,Branded,Non-local",English
6,remote software engineer jobs,us,3,6800,0.35,1.04,remote software engineer jobs,2025-12-22 10:32:39,"Top stories,Video preview",9600,8400,8600,2015-09-01,"Informational,Transactional,Non-branded,Non-local",English
7,github cli,us,15,6400,0.50,1.12,github cli,2025-12-21 19:20:28,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",25000,4700,14000,2015-09-28,"Informational,Branded,Non-local",English
8,github vs gitlab,us,2,3100,0.15,1.05,github vs gitlab,2025-12-22 16:44:29,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Discussions,Video preview",9000,4100,6800,2015-09-10,"Informational,Branded,Non-local",English
9,github projects,us,47,2900,0.50,0.88,github projects,2025-12-21 23:40:18,"Sitelinks,Video preview,Top stories,Thumbnail,People also ask",19000,2700,4600,2015-09-02,"Informational,Branded,Non-local",English
10,remote developer jobs,us,21,2000,0.40,1.1,remote developer jobs,2025-12-13 16:28:30,"Sitelinks,Discussions,Top stories,Video preview",3700,700,700,2015-09-02,"Informational,Non-branded,Non-local",English
11,jira alternatives,us,4,1900,6.00,1.22,jira alternatives,2025-12-15 05:47:01,"Top ads,Paid sitelinks,AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories,Bottom ads,Video preview",5600,1800,3200,2015-09-17,"Informational,Commercial,Branded,Non-local",English
12,best ai coding assistant,us,49,1100,3.50,,ai coding,2025-12-14 23:52:50,"Top ads,AI Overview,Thumbnail,Sitelinks,Discussions,People also ask,Top stories,Video preview,Bottom ads",2500,25000,64000,2021-12-02,"Informational,Non-branded,Non-local",English
