#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages
1,github student developer pack,us,52,11000,1.20,1.14,github student developer pack,2025-12-21 13:26:51,"Sitelinks,Top stories,People also ask,Video preview",64000,21000,113000,2015-09-02,"Informational,Branded,Non-local",English
2,github copilot pricing,us,49,7600,1.80,,github copilot pricing,2025-12-21 19:00:23,"Top ads,Paid sitelinks,AI Overview,Thumbnail,Sitelinks,Top stories,Bottom ads,Video preview",34000,7300,27000,2021-06-29,"Informational,Commercial,Branded,Non-local",English
3,github classroom,us,5,6400,0.03,1.14,github classroom,2025-12-20 06:30:44,"Sitelinks,People also ask,Video preview",13000,6800,8900,2015-09-24,"Informational,Branded,Non-local",English
4,github education,us,51,3200,1.20,1.11,github education,2025-12-20 06:12:36,"Sitelinks,Top stories,Thumbnail,Video preview",54000,3300,30000,2015-09-03,"Informational,Branded,Non-local",English
5,github advanced security,us,21,1800,4.50,,github advanced security,2025-11-30 16:52:41,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",6000,900,2100,2020-01-17,"Informational,Branded,Non-local",English
6,github marketplace,us,77,1500,4.50,1.05,github marketplace,2025-12-21 13:24:39,"Sitelinks,People also ask,Video preview,Bottom ads,Paid sitelinks",7500,1600,3300,2017-05-10,"Informational,Branded,Non-local",English
7,github container registry,us,33,1500,0.20,,ghcr,2025-11-28 20:52:51,"Sitelinks,People also ask,Video preview,Thumbnail",7400,1900,7000,2019-01-16,"Informational,Branded,Non-local",English
8,github actions pricing,us,34,900,7.00,,github actions pricing,2025-12-14 21:44:35,"Sitelinks,People also ask,Video preview",4400,1100,2600,2019-08-13,"Informational,Branded,Non-local",English
9,github enterprise pricing,us,4,900,1.30,1,github pricing,2025-12-20 09:23:25,"Sitelinks,Video preview",3500,7800,22000,2015-09-16,"Informational,Commercial,Branded,Non-local",English
10,github organization,us,11,800,1.30,1.13,github organization,2025-12-21 20:18:07,"Sitelinks,People also ask,Video preview",4000,1000,1400,2015-09-18,"Informational,Non-branded,Non-local",English
11,github apps,us,58,800,2.50,1.1,github apps,2025-12-17 05:33:55,"Sitelinks,People also ask,Video preview",3000,900,3000,2016-02-01,"Informational,Branded,Non-local",English
12,github dependabot,us,68,700,1.80,,dependabot,2025-12-21 01:48:26,"Sitelinks,People also ask,Top stories,Thumbnail,Bottom ads,Video preview",2600,4400,6500,2019-10-22,"Informational,Branded,Non-local",English
13,github pages custom domain,us,24,700,3.50,1.14,github pages custom domain,2025-12-21 08:06:44,"Sitelinks,Top stories,Thumbnail,Video preview",2100,700,1100,2015-09-17,"Informational,Branded,Non-local",English
14,github sso,us,3,700,3.00,,github sso,2025-12-13 10:27:31,"Sitelinks,Top stories,Video preview,Thumbnail,People also ask",2500,600,900,2017-05-30,"Informational,Branded,Non-local",English
15,github copilot enterprise,us,31,700,1.90,,github copilot pricing,2025-12-15 17:36:58,"People also ask,Top stories,Thumbnail,Video preview",3100,6200,24000,2021-07-27,"Informational,Branded,Non-local",English
16,github codespaces pricing,us,25,700,4.00,,github codespaces pricing,2025-12-21 19:03:23,"Sitelinks,AI Overview,Thumbnail,People also ask,Video preview",2200,700,1500,2020-05-06,"Informational,Branded,Non-local",English
17,github actions secrets,us,2,600,3.50,,github secrets,2025-11-30 07:49:34,"AI Overview,Thumbnail,Sitelinks,Top stories,Video preview",2100,900,2200,2020-01-09,"Informational,Branded,Non-local",English
18,github webhooks,us,35,500,0.80,1.11,github webhooks,2025-12-18 16:51:56,"Sitelinks,AI Overview,Video preview,Thumbnail,People also ask",1900,1100,3300,2015-09-15,"Informational,Branded,Non-local",English
19,github security,us,31,500,4.50,1.15,github security news today,2025-12-22 06:32:28,"Sitelinks,People also ask,Video preview",1500,1200,1400,2015-10-29,"Informational,Branded,Non-local",English
20,github oauth,us,52,500,1.90,1.3,github oauth,2025-12-22 01:31:11,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask",2300,700,1000,2015-10-27,"Informational,Branded,Non-local",English
21,github actions runner,us,38,350,0.50,,github runner,2025-12-14 16:08:56,"Top ads,Sitelinks,People also ask,Video preview,Thumbnail",1400,350,800,2019-11-21,"Informational,Branded,Non-local",English
22,github copilot business,us,39,350,2.50,,github copilot business,2025-12-13 14:33:02,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",2600,600,1100,2022-06-25,"Informational,Commercial,Branded,Non-local",English
23,github sponsors,us,34,300,,,sponsors,2025-12-04 02:31:47,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",1300,20,150,2019-05-23,"Informational,Branded,Non-local",English
24,github api rate limit,us,12,300,,1.33,github api rate limit,2025-12-22 08:36:09,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",900,450,700,2016-06-14,"Informational,Branded,Non-local",English
25,github code scanning,us,42,250,4.50,,code scanning,2025-12-20 05:54:38,"Top ads,AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Bottom ads",700,600,800,2017-11-06,"Informational,Branded,Non-local",English
26,github branch protection,us,4,250,3.00,,github branch protection,2025-12-17 06:25:26,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",800,400,500,2016-04-04,"Informational,Branded,Non-local",English
27,github ci cd,us,34,250,1.50,,github ci/cd,2025-12-15 19:58:55,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview,Bottom ads,Paid sitelinks",1400,450,900,2019-08-25,"Informational,Branded,Non-local",English
28,github permissions,us,50,200,,,github write access,2025-12-04 11:04:29,"Sitelinks,People also ask,Top stories,Thumbnail",500,20,20,2015-09-21,"Informational,Branded,Non-local",English
29,github secret scanning,us,14,200,4.50,,github secret scanning,2025-12-15 01:43:36,"Top ads,Sitelinks,AI Overview,Thumbnail,Video preview,People also ask,Top stories,Discussions,Bottom ads,Paid sitelinks",700,300,400,2020-05-06,"Informational,Branded,Non-local",English
