Keyword,Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
open source,73420,940,843,-97,,9.89,9.62,-0.27,100,7,US,United States,73420,843,-97
opensource,12670,178,236,58,,9.75,9.83,0.08,54,6,US,United States,12670,236,58
how to contribute to open source,460,117,118,1,,1.80,2.00,0.20,5,,IN,India,460,118,1
open source software,20930,10,88,78,,12.50,17.71,5.21,24,16,KE,Kenya,20930,88,78
open source contribution,400,54,53,-1,,2.50,1.50,-1.00,2,,IN,India,400,53,-1
open source software is free from terms and conditions,1390,53,53,0,,9.00,9.00,0.00,2,,IN,India,1390,53,0
open s********,860,39,49,10,,9.33,9.00,-0.33,3,,IN,India,860,49,10
what is open source contribution,150,46,46,0,,2.00,1.00,-1.00,1,,IN,India,150,46,0
オープンソースプロジェクト,100,14,44,30,,3.00,1.00,-2.00,1,,JP,Japan,100,44,30
open-source,2380,37,38,1,,8.36,8.81,0.46,16,2,US,United States,2380,38,1
open source law,90,32,32,0,,1.00,1.00,0.00,1,,US,United States,90,32,0
how to contribute to open source projects,150,25,24,-1,,2.50,3.00,0.50,2,,US,United States,150,24,-1
dibayar,2400,,21,,,,11.00,,1,1,ID,Indonesia,2400,21,
open source development,440,15,20,5,,6.57,6.00,-0.57,7,,US,United States,440,20,5
open source project,380,16,18,2,,6.08,4.42,-1.67,12,,IN,India,380,18,2
open source metrics,40,16,16,0,,1.00,1.00,0.00,1,,US,United States,40,16,0
open source projects,1650,16,13,-3,,8.25,8.22,-0.03,9,-3,IN,India,1650,13,-3
open source contributions,90,12,12,0,,2.00,2.00,0.00,2,,US,United States,90,12,0
projet open source,70,12,12,0,,2.00,2.00,0.00,1,,FR,France,70,12,0
project open source,150,9,12,3,,6.67,6.00,-0.67,5,-1,US,United States,150,12,3
how to start contributing to open source,60,9,11,2,,2.00,2.00,0.00,2,,US,United States,60,11,2
open source projects to contribute,290,11,10,-1,,7.43,7.14,-0.29,7,,IN,India,290,10,-1
how to start an open source project,20,10,9,-1,,1.00,1.00,0.00,1,,US,United States,20,9,-1
open source projekte,100,8,8,0,,1.00,1.00,0.00,1,,DE,Germany,100,8,0
open source best practices,20,8,8,0,,1.00,1.00,0.00,1,,US,United States,20,8,0
contributing to open source,50,8,8,0,,2.50,2.50,0.00,2,,US,United States,50,8,0
open source roles,20,8,8,0,,1.00,1.00,0.00,1,,US,United States,20,8,0
open source governance,110,11,8,-4,,4.50,5.50,1.00,2,,US,United States,110,8,-4
contribute to open source,40,7,7,0,,2.00,2.00,0.00,1,,US,United States,40,7,0
how to open source code,150,10,7,-3,,4.00,1.00,-3.00,1,,US,United States,150,7,-3
опенсорс,350,20,7,-13,,7.00,12.00,5.00,1,,RU,Russian Federation,350,7,-13
opensourse,150,4,6,3,,10.00,8.00,-2.00,2,1,US,United States,150,6,3
open source code,1050,0,6,6,,26.00,14.00,-12.00,3,2,US,United States,1050,6,6
open source governance models,100,9,6,-3,,4.00,6.00,2.00,1,,US,United States,100,6,-3
open source legal,40,6,6,0,,2.00,2.00,0.00,1,,US,United States,40,6,0
open source software governance,80,6,6,0,,5.00,5.00,0.00,1,,US,United States,80,6,0
open source guide,10,5,6,0,,1.00,1.00,0.00,1,,US,United States,10,6,0
開源意思,200,4,5,1,,12.00,1.00,-11.00,1,,TW,Taiwan,200,5,1
политика открытого кода,100,5,5,0,,8.00,7.00,-1.00,1,,RU,Russian Federation,100,5,0
open source legal software,50,4,4,0,,4.00,4.00,0.00,1,,US,United States,50,4,0
what is open source project,110,5,4,-1,,7.00,5.00,-2.00,2,,IN,India,110,4,-1
open source funding,30,4,4,0,,1.00,1.00,0.00,1,,US,United States,30,4,0
open source intellectual property,80,,4,,,,8.00,,1,1,US,United States,80,4,
github open source,450,0,4,4,,26.00,13.00,-13.00,3,2,US,United States,450,4,4
how open source software make money,60,3,4,1,,4.50,3.50,-1.00,2,,IN,India,60,4,1
how to do open source contribution,20,4,4,0,,2.00,2.00,0.00,1,,IN,India,20,4,0
open-source software,1750,1,3,2,,18.00,31.25,13.25,4,3,IN,India,1750,3,2
açık kaynak,100,1,3,2,,11.00,5.00,-6.00,1,,TR,Turkey,100,3,2
projetos open source,40,3,3,0,,5.00,5.00,0.00,1,,BR,Brazil,40,3,0
open source projects to contribute to,90,4,3,-1,,8.33,8.67,0.33,3,,US,United States,90,3,-1
how to contribute,10,3,3,0,,2.00,1.00,-1.00,1,,US,United States,10,3,0
open source copyright,10,3,3,0,,1.00,2.00,1.00,1,,US,United States,10,3,0
how to contribute in open source,10,3,3,0,,1.00,2.00,1.00,1,,IN,India,10,3,0
how to start open source contribution,30,4,3,-1,,3.00,5.00,2.00,1,,IN,India,30,3,-1
open source management,150,,3,,,,11.00,,1,1,US,United States,150,3,
open source project meaning,30,3,3,0,,3.00,3.50,0.50,2,,IN,India,30,3,0
communauté open source,40,3,3,0,,5.00,5.00,0.00,1,,FR,France,40,3,0
projets open source,30,3,3,0,,4.00,4.00,0.00,1,,FR,France,30,3,0
open source español,60,2,3,1,,7.00,6.00,-1.00,1,,ES,Spain,60,3,1
open source implementation,20,3,3,0,,3.00,4.00,1.00,1,,US,United States,20,3,0
open sources,230,2,3,1,,8.50,9.00,0.50,3,1,IN,India,230,3,1
codes of conduct meaning,100,3,3,-1,,10.00,11.00,1.00,1,,US,United States,100,3,-1
what is open source projects,40,3,3,0,,1.00,1.00,0.00,1,,IN,India,40,3,0
code of conduct jelentése,40,2,3,1,,8.00,7.00,-1.00,1,,HU,Hungary,40,3,1
опен сорс,80,2,3,1,,12.00,10.00,-2.00,1,,RU,Russian Federation,80,3,1
open source projects meaning,40,3,3,0,,1.00,1.00,0.00,2,,IN,India,40,3,0
open source contributor,10,3,3,0,,2.00,2.00,0.00,1,,IN,India,10,3,0
open souce,50,2,2,0,,9.00,7.00,-2.00,1,,US,United States,50,2,0
what are open source projects,130,2,2,0,,6.67,3.67,-3.00,3,,IN,India,130,2,0
open source methodology,60,2,,,,8.00,,,0,-1,US,United States,60,2,
open sourse,130,2,2,0,,10.00,9.00,-1.00,2,,RU,Russian Federation,130,2,0
code of conduct,46720,7,2,-4,,41.67,52.03,10.36,33,9,VN,Vietnam,46720,2,-4
open source projekt,40,2,2,0,,1.00,1.00,0.00,1,,DE,Germany,40,2,0
community code of conduct,20,2,2,0,,5.00,4.00,-1.00,1,,US,United States,20,2,0
open source website,100,,2,,,,11.00,,1,1,IN,India,100,2,
what is a code of conduct,900,,2,,,,18.00,,1,1,US,United States,900,2,
open source license obligations,80,8,2,-6,,4.00,10.00,6.00,1,,US,United States,80,2,-6
open source contribution for beginners,30,3,2,-1,,4.50,6.00,1.50,2,,IN,India,30,2,-1
contribute software,20,2,2,0,,4.00,4.00,0.00,1,,US,United States,20,2,0
open sorce,40,2,2,0,,7.00,7.00,0.00,1,,US,United States,40,2,0
open soruce,30,2,2,0,,7.00,7.00,0.00,1,,US,United States,30,2,0
how to work on open source projects,10,2,2,0,,2.00,2.00,0.00,1,,US,United States,10,2,0
how do open source projects make money,20,1,2,1,,7.00,5.00,-2.00,1,,US,United States,20,2,1
açık kaynak ne demek,60,2,,,,9.00,,,0,-1,TR,Turkey,60,2,
how does open source software make money,60,,2,,,,10.00,,1,1,US,United States,60,2,
what is an open source project,150,3,2,-1,,8.00,1.00,-7.00,1,,US,United States,150,2,-1
opensource projects,60,1,2,1,,8.50,7.50,-1.00,2,,IN,India,60,2,1
open source code compliance,60,2,2,0,,9.00,9.00,0.00,1,,US,United States,60,2,0
open sour,40,2,2,0,,8.00,8.00,0.00,1,,US,United States,40,2,0
