Keyword,Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
up for grabs,190,14,13,-1,,3.50,3.50,0.00,4,,US,United States,190,13,-1
open source projects looking for contributors,10,1,1,0,,2.00,2.00,0.00,1,,US,United States,10,1,0
open source projects that need help,0,1,1,0,,1.00,1.00,0.00,1,,US,United States,0,1,0
find open source projects to contribute,10,,0,,,,9.00,,1,1,IN,India,10,0,
eram public college,200,0,,,,47.00,,,0,-1,IN,India,200,0,
nodejs open source projects,30,0,,,,42.00,,,0,-1,IN,India,30,0,
commons-compress maven,0,0,0,0,,35.00,35.00,0.00,1,,US,United States,0,0,0
opendota api,80,0,0,0,,50.00,50.00,0.00,1,,US,United States,80,0,0
django cookiecutter,10,0,,,,46.00,,,0,-1,ES,Spain,10,0,
archiver npm,10,0,,,,43.00,,,0,-1,IN,India,10,0,
myget app,90,0,,,,55.00,,,0,-1,IN,India,90,0,
avalonia ui,200,0,,,,59.00,,,0,-1,CA,Canada,200,0,
how to set up anki remote windows,30,0,0,0,,53.00,53.00,0.00,1,,US,United States,30,0,0
es7 release date,10,0,,,,52.00,,,0,-1,US,United States,10,0,
nvim tree,0,0,0,0,,44.00,44.00,0.00,1,,CO,Colombia,0,0,0
array in as400,20,0,0,0,,60.00,60.00,0.00,1,,IN,India,20,0,0
rust tools nvim,10,0,0,0,,60.00,60.00,0.00,1,,US,United States,10,0,0
beautifulsoup headers,10,0,0,0,,63.00,63.00,0.00,1,,US,United States,10,0,0
puppet 5 cookbook pdf free download,60,0,0,0,,72.00,72.00,0.00,1,,US,United States,60,0,0
tensorflow estimator,10,0,,,,68.00,,,0,-1,US,United States,10,0,
powershell add object to array,20,0,,,,68.00,,,0,-1,DE,Germany,20,0,
ansible inventory variables,30,0,,,,73.00,,,0,-1,US,United States,30,0,
airflow clickhouse,20,0,0,0,,72.00,72.00,0.00,1,,RU,Russian Federation,20,0,0
fastapi redis cache,30,0,0,0,,75.00,75.00,0.00,1,,US,United States,30,0,0
amp validator chrome extension,10,0,,,,73.00,,,0,-1,IN,India,10,0,
opentelemetry operator,50,0,,,,82.00,,,0,-1,BR,Brazil,50,0,
opentelemetry collector,150,0,,,,92.00,,,0,-1,JP,Japan,150,0,
enum in ruby,10,0,0,0,,83.00,83.00,0.00,1,,US,United States,10,0,0
cloudformation custom resource lambda,10,0,0,0,,91.00,91.00,0.00,1,,US,United States,10,0,0
zap owasp,20,0,,,,92.00,,,0,-1,AU,Australia,20,0,
python turtle graphics,30,0,0,0,,97.00,97.00,0.00,1,,SA,Saudi Arabia,30,0,0
lambda layers,20,0,0,0,,98.00,98.00,0.00,1,,SG,Singapore,20,0,0
cognito forms reviews,40,0,0,0,,101.00,101.00,0.00,1,,US,United States,40,0,0
drupal chatgpt,10,0,0,0,,95.00,95.00,0.00,1,,US,United States,10,0,0
cors owasp,10,0,,,,94.00,,,0,-1,IN,India,10,0,
fractal design define r6,20,0,,,,99.00,,,0,-1,DK,Denmark,20,0,
the hyppo,80,0,0,0,,50.00,50.00,0.00,1,,US,United States,80,0,0
ember-concurrency,0,0,0,0,,40.00,40.00,0.00,1,,US,United States,0,0,0
octokit/rest,10,0,0,0,,44.00,44.00,0.00,1,,US,United States,10,0,0
grabs,100,0,0,0,,40.00,48.00,8.00,1,-1,US,United States,100,0,0
commitizen,10,0,,,,48.00,,,0,-1,PL,Poland,10,0,
@microsoft/applicationinsights-react-js,10,0,0,0,,50.00,50.00,0.00,1,,US,United States,10,0,0
jhipster,100,0,,,,55.00,,,0,-1,ID,Indonesia,100,0,
emscripten,0,0,,,,57.00,,,0,-1,CO,Colombia,0,0,
cfengine,90,0,0,0,,58.00,58.00,0.00,1,,US,United States,90,0,0
openebs,10,0,,,,65.00,,,0,-1,KR,South Korea,10,0,
tooljet,100,0,,,,69.00,,,0,-1,CA,Canada,100,0,
freshrss,50,0,,,,82.00,,,0,-1,IN,India,50,0,
mjml,30,0,0,0,,85.00,85.00,0.00,1,,DK,Denmark,30,0,0
xunit,150,0,0,0,,94.00,94.00,0.00,1,,PL,Poland,150,0,0
qtop,800,0,,,,96.00,,,0,-1,US,United States,800,0,
authkit,1700,0,,,,101.00,,,0,-1,PK,Pakistan,1700,0,
finds open source projects actively maintained,0,0,,,,8.00,,,0,-1,US,United States,0,0,
finds open source projects actively,0,0,0,0,,6.00,4.00,-2.00,1,,US,United States,0,0,0
finds source projects actively maintained,0,,0,,,,9.00,,1,1,US,United States,0,0,
report few open source projects actively,0,,0,,,,8.00,,1,1,US,United States,0,0,
