#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages
1,product management certification,us,52,5800,5.00,1.38,product management certification,2025-12-19 23:44:26,"Top ads,AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview,Bottom ads,Paid sitelinks",12000,3900,4900,2015-09-01,"Informational,Non-branded,Non-local",English
2,what is product management,us,32,4000,0.40,0.65,product manager,2025-12-20 01:41:16,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",9100,4900,7700,2015-09-18,"Informational,Non-branded,Non-local",English
3,product management software,us,21,3700,0.35,0.99,product management tools,2025-12-21 06:32:21,"Top ads,Paid sitelinks,Sitelinks,Bottom ads,Video preview",5700,1800,2100,2015-11-12,"Informational,Commercial,Non-branded,Non-local",English
4,product management tools,us,10,1700,5.00,1.14,product management tools,2025-12-18 11:42:00,"Top ads,AI Overview,Thumbnail,Sitelinks,People also ask,Bottom ads,Paid sitelinks,Video preview",3700,1400,1700,2015-09-14,"Informational,Commercial,Non-branded,Non-local",English
5,product management course,us,48,1600,2.00,1.41,product management courses,2025-12-13 20:26:09,"Top ads,Sitelinks,Top stories,Thumbnail,Video preview,People also ask,Bottom ads,Paid sitelinks",5500,1000,1400,2016-01-16,"Informational,Non-branded,Non-local",English
6,agile product management,us,17,800,2.50,0.77,agile product management,2025-12-13 18:30:31,"AI Overview,Thumbnail,Top ads,Sitelinks,People also ask,Bottom ads,Video preview",2300,1000,3000,2015-10-15,"Informational,Non-branded,Non-local",English
7,product management lifecycle,us,9,600,3.50,0.85,product management lifecycle,2025-12-04 22:00:45,"AI Overview,Thumbnail,Video preview,Top ads,Paid sitelinks,Sitelinks,People also ask,Bottom ads",1600,800,1400,2015-10-08,"Informational,Non-branded,Non-local",English
8,product management framework,us,18,600,3.50,1.5,product management framework,2025-12-13 10:34:59,"AI Overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Top stories,Bottom ads,Video preview",1200,800,1100,2016-09-12,"Informational,Non-branded,Non-local",English
9,product management books,us,2,500,0.50,0.87,product management books,2025-11-23 15:52:41,"Sitelinks,People also ask,Top stories,Thumbnail,Shopping,Video preview",1600,700,1300,2015-11-15,"Informational,Non-branded,Non-local",English
10,product management vs project management,us,0,500,0.10,0.9,product manager vs project manager,2025-12-14 20:32:34,"AI Overview,Thumbnail,Top ads,Paid sitelinks,People also ask,Sitelinks,Bottom ads,Video preview",1500,1600,2300,2015-09-23,"Informational,Non-branded,Non-local",English
