#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages
1,github pages custom domain,us,24,700,3.50,1.14,github pages custom domain,2025-12-21 08:06:44,"Sitelinks,Top stories,Thumbnail,Video preview",2100,700,1100,2015-09-17,"Informational,Branded,Non-local",English
2,github pages tutorial,us,52,350,0.30,1.42,how to use github pages,2025-12-17 13:16:10,"AI Overview,Thumbnail,Video preview,Sitelinks,Top stories",700,1000,1600,2015-11-14,"Informational,Branded,Non-local",English
3,github pages free,us,45,150,,,is github pages free,2025-11-22 17:33:45,"Sitelinks,People also ask,Top stories,Thumbnail",250,100,150,2017-02-28,"Informational,Branded,Non-local",English
4,github pages jekyll,us,0,150,0.30,1.2,jekyll github pages,2025-11-18 06:39:13,"AI Overview,Sitelinks",450,350,350,2015-09-16,"Informational,Branded,Non-local",English
5,how to use github pages,us,38,150,0.07,1.25,how to use github,2025-11-22 16:53:20,"AI Overview,Sitelinks,People also ask,Top stories,Thumbnail,Video preview",400,1300,2000,2015-11-10,"Informational,Branded,Non-local",English
6,github pages hosting,us,24,100,2.00,,github pages,2025-12-14 09:18:47,"Sitelinks,People also ask,Top stories,Thumbnail",200,23000,74000,2016-02-11,"Informational,Branded,Non-local",English
7,github pages website,us,23,70,3.50,,github pages,2025-11-29 21:47:26,"AI Overview,Thumbnail,Sitelinks,People also ask",100,19000,67000,2016-06-12,"Informational,Branded,Non-local",English
8,github pages 404,us,0,70,,1.42,github 404,2025-11-28 04:51:56,Sitelinks,200,150,200,2016-01-17,"Informational,Branded,Non-local",English
9,github pages react,us,63,60,0.70,1.42,deploy react app to github pages,2025-11-24 22:38:57,"Sitelinks,People also ask",200,100,250,2017-02-06,"Informational,Branded,Non-local",English
10,github pages deploy,us,37,60,,,how to deploy to github pages,2025-11-22 04:51:43,"Sitelinks,Top stories,Thumbnail",400,300,600,2019-01-05,"Informational,Branded,Non-local",English
11,github pages ci cd,us,,60,,,,,,70,,,2021-05-18,,
12,github pages redirect,us,1,40,,,github pages redirect,2025-12-13 23:36:33,Sitelinks,100,10,10,2017-02-13,"Informational,Branded,Non-local",English
13,github pages blog,us,31,40,3.00,,github blog,2025-11-27 08:36:15,Sitelinks,100,60,350,2015-10-26,"Informational,Branded,Non-local",English
14,github pages limitations,us,,40,,,,,,80,,,2017-06-25,"Informational,Branded,Non-local",English
15,github pages static site,us,,30,,,,,,40,,,2018-10-05,"Informational,Branded,Non-local",English
16,github pages ssl,us,22,30,,,github pages https,2025-11-25 07:56:02,"Sitelinks,People also ask",80,50,70,2015-12-29,"Informational,Branded,Non-local",English
17,github pages subdomain,us,0,30,,,github pages subdomain,2025-11-23 09:20:16,Sitelinks,80,20,30,2015-11-26,"Informational,Branded,Non-local",English
18,github pages vs vercel,us,,30,,,,,,80,,,2020-10-26,,
19,github pages https,us,28,30,,1.52,github pages https,2025-11-29 17:19:23,"Sitelinks,People also ask",90,50,80,2016-06-05,"Informational,Branded,Non-local",English
20,github pages vs netlify,us,1,20,,,netlify vs github pages,2025-12-04 02:45:41,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions",60,60,60,2019-05-07,"Informational,Branded,Non-local",English
21,github pages action,us,34,20,,,github action,2025-12-13 08:52:33,"Sitelinks,Top stories,Thumbnail",50,90,200,2020-04-05,"Informational,Branded,Non-local",English
22,github pages domain setup,us,,10,,,,,,20,,,2020-01-12,,
23,github pages template,us,22,10,1.80,,github pages templates,2025-11-23 03:54:37,"Sitelinks,Discussions,Bottom ads,Paid sitelinks",40,200,250,2015-10-04,"Informational,Branded,Non-local",English
24,github pages workflow,us,,10,,,,,,30,,,2017-09-29,,
25,github pages for portfolio,us,,,,,,,,,,,2017-10-31,,
